Brand,Product Name,Discounted Price,Original Price,Rating,Reviews,Material,Availability,Seller,Product URL
JENNA,Embellished Purse Clutch,₹583,MRP ₹799,3.4|7 Ratings,7 Ratings,PU,In Stock,TK International,https://www.myntra.com/clutches/jenna/jenna-embellished-purse-clutch/23268034/buy
ESBEDA,Set of 4 Gold-Toned Textured Clutches,₹592,MRP ₹1480,4.6|118 Ratings,118 Ratings,PU,In Stock,INTOUCH LEATHER HOUSE INDIA PVT LTD,https://www.myntra.com/clutches/esbeda/esbeda-set-of-4-gold-toned-textured-clutches/8908763/buy
Mochi,Women Grey Solid Purse,₹593,MRP ₹1290,4.5|14 Ratings,14 Ratings,Synthetic,In Stock,Vision Star,https://www.myntra.com/clutches/mochi/mochi-women-grey-solid-purse--/17564540/buy
Mochi,Yellow & Brown Textured Purse Clutch,₹593,MRP ₹1290,4.7|15 Ratings,15 Ratings,Synthetic,In Stock,Vision Star,https://www.myntra.com/clutches/mochi/mochi-yellow--brown-textured-purse-clutch/17295656/buy
Kara,Brown Purse Clutch,₹593,MRP ₹1649,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-brown-purse-clutch/21886998/buy
Kara,Leather Purse Clutch,₹593,MRP ₹1649,3.2|17 Ratings,17 Ratings,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-leather-purse-clutch/21886996/buy
Kara,Leather Purse Clutch,₹593,MRP ₹1649,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-leather-purse-clutch/21886992/buy
Kara,Leather Purse Clutch,₹593,MRP ₹1649,2.6|5 Ratings,5 Ratings,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-leather-purse-clutch/21886990/buy
Kara,Leather Purse Clutch,₹593,MRP ₹1649,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-leather-purse-clutch/21886988/buy
Kara,Tan Solid Leather Clutch,₹593,MRP ₹1649,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-tan-solid-leather-clutch/14043828/buy
Kara,Coffee Brown Leather Solid Purse,₹593,MRP ₹1649,3.7|45 Ratings,45 Ratings,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-coffee-brown-leather-solid-purse/11333892/buy
Kara,Red Solid Leather Purse,₹593,MRP ₹1649,4.1|16 Ratings,16 Ratings,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-red-solid-leather-purse/11015310/buy
Kuber Industries,Set Of 2 Embroidered Envelope Clutches,₹593,MRP ₹2199,2.2|5 Ratings,5 Ratings,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-set-of-2-embroidered-envelope-clutches/28580558/buy
Kuber Industries,Set Of 2 Embroidered Purse Clutch,₹593,MRP ₹2199,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-set-of-2-embroidered-purse-clutch/28580554/buy
Kuber Industries,Set Of 2 Embroidered Envelope Clutches,₹593,MRP ₹2199,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-set-of-2-embroidered-envelope-clutches/28580532/buy
Kuber Industries,Pack of 2 Embellished Purse Clutch,₹593,MRP ₹2199,N/A,N/A,Fabric,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-pack-of-2-embellished-purse-clutch/28580526/buy
Kuber Industries,Set Of 2 Embellished Purse Clutches,₹593,MRP ₹2199,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-set-of-2-embellished-purse-clutches/28580512/buy
Kuber Industries,Ethnic Printed Purse,₹599,MRP ₹1199,N/A,N/A,Polyester,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-ethnic-printed-purse-/28592826/buy
FOREVER 21,White & Black Printed Purse Clutch,₹599,MRP ₹1499,N/A,N/A,100% PU,In Stock,Westbury Holdings Pvt Ltd_Forever21,https://www.myntra.com/clutches/forever+21/forever-21-white--black-printed-purse-clutch/16801196/buy
BandBox,Charcoal Printed Purse Clutch,₹599,MRP ₹1550,N/A,N/A,PU,In Stock,BANDBOX CORPORATION,https://www.myntra.com/clutches/bandbox/bandbox-charcoal-printed-purse-clutch/19761802/buy
FARGO,Red & Gold-Toned Printed Purse Clutch,₹599,MRP ₹1999,N/A,N/A,Synthetic,In Stock,Retail Grapple,https://www.myntra.com/clutches/fargo/fargo-red--gold-toned-printed-purse-clutch/16682406/buy
LIKAA,Embroidered Purse Clutch,₹599,MRP ₹2999,N/A,N/A,N/A,In Stock,AAGMAN ENTERPRISES,https://www.myntra.com/clutches/likaa/likaa-embroidered-purse-clutch/22509472/buy
LIKAA,Embroidered Purse Clutch,₹599,MRP ₹2999,3.2|5 Ratings,5 Ratings,N/A,In Stock,AAGMAN ENTERPRISES,https://www.myntra.com/clutches/likaa/likaa-embroidered-purse-clutch/22509420/buy
Bagsy Malone,Camel Brown Textured Purse Clutch,₹599,MRP ₹4599,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-camel-brown-textured-purse-clutch/17747932/buy
Bagsy Malone,Cream-Coloured Textured Purse Clutch,₹599,MRP ₹4599,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-cream-coloured-textured-purse-clutch/16351774/buy
Bagsy Malone,Red Textured Purse Clutch,₹599,MRP ₹4599,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-red-textured-purse-clutch/16351772/buy
Bagsy Malone,Blue Textured Purse Clutch,₹599,MRP ₹4599,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-blue-textured-purse-clutch/16351768/buy
Bagsy Malone,Peach-Coloured Textured Purse Clutch,₹599,MRP ₹4599,N/A,N/A,PU.,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-peach-coloured-textured-purse-clutch/16351754/buy
Bagsy Malone,Women Brown Textured Clutch,₹599,MRP ₹4599,N/A,N/A,PU.,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-women-brown-textured-clutch/16351742/buy
Bagsy Malone,Grey Textured Purse Clutch,₹599,MRP ₹4599,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-grey-textured-purse-clutch/16351734/buy
Mast & Harbour,Women Checked Purse,₹615,MRP ₹2199,N/A,N/A,PU,In Stock,Truecom Retail,https://www.myntra.com/clutches/mast+%26+harbour/mast--harbour-women-checked-purse/26172800/buy
